building_name,city,height_m
Burj Khalifa,Dubai,828
Merdeka 118,Kuala Lumpur,679
Shanghai Tower,Shanghai,632
Makkah Royal Clock Tower,Mecca,601
Ping An Finance Center,Shenzhen,599
Lotte World Tower,Seoul,555
One World Trade Center,New York City,541
Guangzhou CTF Finance Centre,Guangzhou,530
Tianjin CTF Finance Centre,Tianjin,530
CITIC Tower,Beijing,528
TAIPEI 101,Taipei,508
Shanghai World Financial Center,Shanghai,492
International Commerce Centre,Hong Kong,484
Wuhan Greenland Center,Wuhan,476
Central Park Tower,New York City,472
Lakhta Center,St. Petersburg,462
Vincom Landmark 81,Ho Chi Minh City,461
The Exchange 106,Kuala Lumpur,454
Changsha IFS Tower T1,Changsha,452
Petronas Twin Tower 1,Kuala Lumpur,452
Petronas Twin Tower 2,Kuala Lumpur,452
